"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 3, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"May 26, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"May 25, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 22, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 4 times by 1 anonymous user","canto",1,4,1,"Apr 12, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, workflow automation",2,2,2,"Apr 6, 2023",,
"/discover/account/detail/d84b1bd5f8d9853/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cubic Corporation","United States - cubic.com","1 keyword researched a total of 2 times by 1 anonymous user","best dam",1,2,1,"Mar 22, 2023",,
