"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jul 28, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, content delivery network",2,2,2,"Jul 19, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 29, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 3, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 24, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 21, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Mar 24, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 1, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 28, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Feb 24, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 23, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 22, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 21, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Feb 20, 2023"
"/discover/account/detail/d2488dbf9ace427/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Culligan International","United States - culligan.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 17, 2023"
