"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 20, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 6 times by 1 anonymous user","hyland",1,6,1,"May 4, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"May 3, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 28, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 23, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 22, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 22, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Mar 12, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","2 keywords researched a total of 4 times by 1 anonymous user","digital asset management trends, digital asset management",2,4,1,"Feb 26, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 25, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 8 times by 1 anonymous user","digital asset management",1,8,1,"Feb 24, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","2 keywords researched a total of 32 times by 1 anonymous user","digital asset management trends, digital asset management",2,32,1,"Feb 23, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","2 keywords researched a total of 38 times by 1 anonymous user","digital asset management, digital asset management trends",2,38,1,"Feb 22, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","2 keywords researched a total of 4 times by 1 anonymous user","digital asset management, digital asset management trends",2,4,1,"Feb 21, 2023"
"/discover/account/detail/25e75b0a389fa8f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cypress Semiconductor","United States - cypress.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023"
