"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 3 times by 2 anonymous users","widen",1,3,2,"Jun 22, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 3 times by 1 anonymous user","dam europe",1,3,1,"Jun 6, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Apr 28, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 23, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 17, 2023",,
"/discover/account/detail/eed521091152811/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Daktronics","United States - daktronics.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/96139",,,,"Feb 28, 2023",11,1
