"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 11, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 30, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 14, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","2 keywords researched a total of 3 times by 3 anonymous users","Informatica, canto",2,3,3,"Jun 2, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","2 keywords researched a total of 4 times by 2 anonymous users","aem, taxonomy",2,4,2,"Jun 1, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","3 keywords researched a total of 3 times by 2 anonymous users","canto, Informatica, marketing performance",3,3,2,"May 31, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 30, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 29, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 28, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 25, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"May 20, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 17, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 6, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 3 times by 2 anonymous users","Informatica",1,3,2,"May 1, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","2 keywords researched a total of 3 times by 1 anonymous user","pim, canto",2,3,1,"Apr 26, 2023"
"/discover/account/detail/49a26c4e5b0d778/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Deliveroo Plc","United Kingdom - deliveroo.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 21, 2023"
