"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 31, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 10, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 27, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","2 keywords researched a total of 2 times by 2 anonymous users","smartsheet, widen",2,2,2,"Jun 22, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 4, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 31, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 24, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 22, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 5 times by 1 anonymous user","workflow automation",1,5,1,"May 19, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 18, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 16, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 15, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"May 10, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","3 keywords researched a total of 5 times by 3 anonymous users","widen, taxonomy, digital asset management",3,5,3,"May 5, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 3, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 6, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","managing digital assets",1,1,1,"Apr 1, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 23, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 10, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 9, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 6, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Feb 26, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",3,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",2,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",2,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",2,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Feb 16, 2023",,
"/discover/account/detail/20d83515a50a3f0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dolby Laboratories, Inc.","United States - dolby.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",4,1
