"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 9, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 31, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, sitecore",2,2,2,"May 25, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 24, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","2 keywords researched a total of 9 times by 2 anonymous users","aem, Informatica",2,9,2,"May 23, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, hyland",2,3,2,"Apr 10, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",3,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",5,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",3,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 24, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 23, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Feb 22, 2023",,
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",6,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",2,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",5,1
"/discover/account/detail/500b5377b09ba17/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dole Food Company, Inc.","United States - dole.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",1,1
