"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 7, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 2 anonymous users","dam europe",1,2,2,"Jun 26, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 19, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 17, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 8, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 5, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 19, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 11, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 2, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 27, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 18, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 8, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 30, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 22, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 21, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 19, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Mar 16, 2023"
"/discover/account/detail/98194ec3356a98a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dot Foods Inc.","United States - dotfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Mar 13, 2023"
