"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Aug 13, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 20, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 18, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 29, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 9, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","2 keywords researched a total of 2 times by 2 anonymous users","Salsify, marketing performance",2,2,2,"Jun 8, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 4 times by 1 anonymous user","widen",1,4,1,"May 27, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 4, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 2, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 29, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 16, 2023"
"/discover/account/detail/1eaaf29688a2b63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Doterra","United States - doterra.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 21, 2023"
