"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 4 times by 2 anonymous users","marketing performance, taxonomy",2,4,2,"Aug 14, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 11, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Aug 10, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 9, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 2 anonymous users","taxonomy",1,2,2,"Jul 30, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 3 times by 2 anonymous users","taxonomy",1,3,2,"Jul 29, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 28, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 27, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, marketing performance",2,2,2,"Jul 26, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, brand integrity",2,2,2,"Jul 25, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, dam new york",2,2,2,"Jul 24, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 22, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 3 times by 3 anonymous users","widen",1,3,3,"Jul 15, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 3 times by 2 anonymous users","widen",1,3,2,"Jul 14, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 13, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 12, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 3 times by 2 anonymous users","dam manager, digital asset management",2,3,2,"Jul 11, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","taxonomy, marketing performance",2,2,2,"Jul 10, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 9, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jul 7, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","4 keywords researched a total of 7 times by 4 anonymous users","aem, marketing performance, taxonomy, content hub",4,7,4,"Jul 6, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","digital asset manager, content delivery network",2,2,2,"Jul 5, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 6 times by 5 anonymous users","dam europe",1,6,5,"Jun 26, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Jun 25, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 24, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 20, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","3 keywords researched a total of 7 times by 5 anonymous users","dam new york, hyland, digital asset management",3,7,5,"Jun 19, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 3 times by 3 anonymous users","dam new york",1,3,3,"Jun 18, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Jun 16, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 15, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 14, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 13, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 4 times by 2 anonymous users","taxonomy, workflow automation",2,4,2,"Jun 12, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","3 keywords researched a total of 3 times by 3 anonymous users","widen, marketing performance, managing digital assets",3,3,3,"Jun 11, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 10, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 8, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 3 times by 3 anonymous users","widen, taxonomy",2,3,3,"Jun 7, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, taxonomy",2,2,2,"Jun 5, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 30, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","2 keywords researched a total of 6 times by 2 anonymous users","aem, Salsify",2,6,2,"May 28, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 27, 2023",,,
"/discover/account/detail/f7b0a3dcd2fedbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Duracell","United States - duracell.com","3 keywords researched a total of 7 times by 4 anonymous users","aem, sitecore, content hub",3,7,4,"May 25, 2023",,,
