"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 8, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 2 times by 1 anonymous user","best dam",1,2,1,"Jul 13, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 29, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 2, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 30, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 2 times by 2 anonymous users","marketing performance",1,2,2,"May 26, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 25, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 1, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 24, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Mar 28, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 13, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 11, 2023"
"/discover/account/detail/b2ad82dc4442085/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Dyson","United Kingdom - dyson.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Feb 17, 2023"
