"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 31, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 5 times by 1 anonymous user","workflow automation",1,5,1,"Jul 21, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 20, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, workflow automation",2,3,2,"Jul 19, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, taxonomy",2,2,2,"Jul 17, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, dam manager",2,2,2,"Jul 16, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 4 times by 3 anonymous users","widen",1,4,3,"Jul 14, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","3 keywords researched a total of 4 times by 3 anonymous users","opentext, widen, taxonomy",3,4,3,"Jul 12, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Jul 8, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 6, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Jul 4, 2023"
"/discover/account/detail/26db55300c77ff0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Eby - Brown","United States - eby-brown.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 3, 2023"
