"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 22, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 11, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 2 times by 1 anonymous user","best dam",1,2,1,"Jun 9, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 30, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 25, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 24, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 13, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 1, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Apr 24, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 19, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 14, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",4,1
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Feb 17, 2023",,
"/discover/account/detail/d526c4335d1ba58/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Edrington","United Kingdom - edrington.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Feb 15, 2023",,
