"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Jul 28, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 16, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",1,2,1,"Jul 11, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 8 times by 1 anonymous user","taxonomy",1,8,1,"Jul 6, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 29, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 27, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","adobe dam",1,1,1,"Jun 17, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 3 times by 1 anonymous user","dam europe",1,3,1,"Jun 6, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 14, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 page viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/",,,2,"May 9, 2023",1,3,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"May 9, 2023",1,,1,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 6 times by 2 anonymous users","taxonomy",1,6,2,"May 9, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 8, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 4, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Apr 20, 2023",,,,,
"/discover/account/detail/94f7a9f3baa1a75/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Electronics for Imaging, Inc.","United States - efi.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Apr 10, 2023",,,,,
