"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 10, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 8, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 5, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 28, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Apr 13, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"Apr 12, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 7, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 3, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",5,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",1,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",2,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management trends, digital asset management",2,2,1,"Feb 22, 2023",,
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",1,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",4,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",4,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","9 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",9,1
"/discover/account/detail/8c21a402010c424/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Elkay Manufacturing","United States - elkay.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 15, 2023",,
