"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 5 times by 1 anonymous user","canto",1,5,1,"Jul 12, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 16, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 13, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 24, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 18, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 6, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 11, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 3, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 2 times by 1 anonymous user","Salsify",1,2,1,"Feb 27, 2023"
"/discover/account/detail/7a14d51f26623c8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","EnerSys","United States - enersys.com","1 keyword researched a total of 5 times by 1 anonymous user","digital asset management",1,5,1,"Feb 25, 2023"
