"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, workflow automation",2,3,2,"Aug 2, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 17, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","2 keywords researched a total of 6 times by 2 anonymous users","workflow automation, marketing performance",2,6,2,"Jun 5, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 14, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","2 keywords researched a total of 3 times by 1 anonymous user","opentext, opentext alternatives",2,3,1,"May 4, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","2 keywords researched a total of 2 times by 1 anonymous user","canto, canto reviews",2,2,1,"Apr 16, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Apr 13, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 7, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 21 times by 1 anonymous user","hyland",1,21,1,"Apr 3, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 22, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 21, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",7,1
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 2, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",3,1
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","8 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",8,1
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",1,1
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 27, 2023",,
"/discover/account/detail/d413c042937728f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Epson","United States - epson.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",5,1
