"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 14, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Aug 8, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Jul 19, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 17, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"May 15, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/about/#leadership, https://tenovos.com/",,,1,"May 11, 2023",2,2,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"May 11, 2023",1,,1
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 10, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"May 4, 2023",1,1,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",,,1,"May 4, 2023",1,,2
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 5 times by 1 anonymous user","widen",1,5,1,"May 4, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 20, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Apr 18, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Apr 17, 2023",,,
"/discover/account/detail/d04f6071a7c378a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Equinox","United States - equinox.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023",,,
