"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, marketing performance",2,2,2,"Aug 10, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","Riversand",1,1,1,"Aug 9, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 5 times by 2 anonymous users","Informatica, content hub",2,5,2,"Aug 4, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 1, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 31, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 26, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 2 times by 2 anonymous users","dam new york, marketing performance",2,2,2,"Jul 24, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, digital asset management",2,2,2,"Jul 23, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 18, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 15, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, marketing performance",2,3,2,"Jul 12, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","2 keywords researched a total of 11 times by 2 anonymous users","marketing performance, digital asset management",2,11,2,"Jul 11, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Jul 6, 2023",,,,,
"/discover/account/detail/620fbb07ea518b8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Estee Lauder","United States - esteelauder.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 5, 2023",,,,,
