"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 24, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 17, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 14, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 2, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 27, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 24, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 22, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 5 times by 2 anonymous users","content hub",1,5,2,"Apr 1, 2023"
"/discover/account/detail/a2ed84bfc5ccf50/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ETC","United States - etcconnect.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 17, 2023"
