"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 14, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 4 times by 1 anonymous user","workflow automation",1,4,1,"Jul 3, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 4 times by 1 anonymous user","content hub",1,4,1,"Jun 30, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","3 keywords researched a total of 5 times by 1 anonymous user","content hub, digital asset management, workflow automation",3,5,1,"Jun 28, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","2 keywords researched a total of 9 times by 1 anonymous user","content hub, workflow automation",2,9,1,"Jun 27, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 20, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 6 times by 1 anonymous user","workflow automation",1,6,1,"Jun 14, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","2 keywords researched a total of 11 times by 1 anonymous user","content hub, workflow automation",2,11,1,"Jun 13, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 9, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 30, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 5 times by 1 anonymous user","workflow automation",1,5,1,"May 29, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 4 times by 1 anonymous user","forrester wave",1,4,1,"May 26, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 3 times by 1 anonymous user","forrester wave",1,3,1,"May 24, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"May 3, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 6 times by 1 anonymous user","widen",1,6,1,"Apr 9, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Mar 28, 2023"
"/discover/account/detail/47a92d7d7aef46c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Exertis","United Kingdom - exertis.co.uk","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 25, 2023"
