"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 1, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 31, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 7, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 6, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 31, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 11, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 6, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Mar 4, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, smartsheet",2,3,2,"Mar 2, 2023"
"/discover/account/detail/ecacda3d812ee1a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Farmer Brothers","United States - farmerbros.com","2 keywords researched a total of 4 times by 1 anonymous user","digital asset management trends, digital asset management",2,4,1,"Feb 23, 2023"
