"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 5, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 26, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 22, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 3 times by 3 anonymous users","canto",1,3,3,"Jul 10, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 2 times by 1 anonymous user","brand collections",1,2,1,"Jul 5, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 3, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 24, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",1,2,1,"Jun 14, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 11, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, sitecore",2,3,2,"Jun 10, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","2 keywords researched a total of 4 times by 4 anonymous users","Informatica, canto",2,4,4,"May 25, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 24, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 22, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 21, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 20, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 19, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","2 keywords researched a total of 3 times by 3 anonymous users","canto, Informatica",2,3,3,"May 17, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 13, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 2 times by 2 anonymous users","canto",1,2,2,"May 10, 2023",,
"/discover/account/detail/18d4b0a6dba4bcb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","FARO Technologies","United States - faro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 7, 2023",,
