"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Aug 9, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jun 28, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 14, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 20, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 13, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Apr 13, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Mar 31, 2023"
"/discover/account/detail/60fc2a80e1cf840/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Fellowes","United States - fellowes.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 24, 2023"
