"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Aug 3, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 31, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 24, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 15, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 14, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 11, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 28, 2023",,
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",1,1
"/discover/account/detail/ebe0746c2c02b0c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ferrara Candy Company","United States - ferrarausa.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
