"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 12, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 31, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, marketing performance",2,2,2,"Jun 28, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 10, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 21, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 17, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"May 5, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 4, 2023"
"/discover/account/detail/4e1c798fff1b522/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","First Solar, Inc.","United States - firstsolar.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Apr 5, 2023"
