"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Aug 10, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","2 keywords researched a total of 6 times by 2 anonymous users","workflow automation, taxonomy",2,6,2,"Jul 17, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jun 28, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/0dfdfcc0cbda4ed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Flex Ltd","United States - flex.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 12, 2023",,
