"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 4, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 13, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Mar 23, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 20, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",2,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",7,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",3,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",2,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",2,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 22, 2023",,
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",2,1
"/discover/account/detail/90d01827eecc334/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Founders Brewing","United States - foundersbrewing.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Feb 21, 2023",,
