"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 30, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 18, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 27, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 17, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 8, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 22, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Feb 20, 2023",,
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",3,1
"/discover/account/detail/53d8d30cd425425/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Freshly","United States - freshly.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",2,1
