"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jul 31, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 7, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 14, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 4, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 2, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jun 1, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 28, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 3, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 26, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, taxonomy",2,3,2,"Mar 13, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 11, 2023"
"/discover/account/detail/140755de7e62ed8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","General Electric Company","United Kingdom - ge.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 6, 2023"
