"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Aug 10, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 6, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 30, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","3 keywords researched a total of 3 times by 3 anonymous users","canto, dam new york, sitecore",3,3,3,"Jul 24, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 22, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, content hub",2,2,2,"Jul 19, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/1761f87d048da87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Georgia - Pacific","United States - gp.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 12, 2023",,
