"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 13, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 9, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 26, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 30, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 3 times by 1 anonymous user","dam new york",1,3,1,"Jun 19, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 8, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 5, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 4, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 28, 2023"
"/discover/account/detail/2f8e90285743870/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Givaudan S.A.","United States - givaudan.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 12, 2023"
