"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 4 times by 1 anonymous user","canto",1,4,1,"Aug 12, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Aug 8, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 7, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jul 15, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 13 times by 1 anonymous user","Informatica",1,13,1,"Jul 12, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","2 keywords researched a total of 9 times by 2 anonymous users","hyland, Informatica",2,9,2,"Jul 10, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 30, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 16, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 3, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 26, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 25, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 23, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 15, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 12, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 9, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 12 times by 5 anonymous users","hyland",1,12,5,"Apr 3, 2023"
"/discover/account/detail/a30965aecdc581f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GOJO Industries","United States - gojo.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023"
