"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 25, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 24, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 7, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 21, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 6, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 14, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 25, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 21, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 16, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 5, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 27, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","2 keywords researched a total of 6 times by 1 anonymous user","digital asset management trends, digital asset management",2,6,1,"Feb 22, 2023"
"/discover/account/detail/b8a2e4039b7e147/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","GoPro","United States - gopro.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Feb 20, 2023"
