"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Aug 9, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, content hub",2,3,2,"Jul 24, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 12, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 8, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","2 keywords researched a total of 4 times by 3 anonymous users","product information management, dam europe",2,4,3,"Jun 26, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 20, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 18, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 17, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 15, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 12, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, marketing performance",2,3,2,"Jun 1, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 23, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 11, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 8, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 6, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 5, 2023"
"/discover/account/detail/03abdd76f3601cf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hallmark Cards Inc","United States - hallmark.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
