"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Aug 7, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 19, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Jul 5, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, content hub",2,3,2,"Jun 20, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 11, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 10, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 14, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 6, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 5, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 29, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 23, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 21, 2023",,,,
"/discover/account/detail/e206c5e0f3e1b85/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Haworth, Inc.","United States - haworth.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",,,1,"Mar 6, 2023",1,2,,
