"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 31, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 22, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 12, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 27, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 9, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 5, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 18, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 17, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 15, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 12, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, taxonomy",2,3,2,"May 11, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","2 keywords researched a total of 8 times by 2 anonymous users","canto, taxonomy",2,8,2,"May 10, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 8, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/4d0f1e779669e74/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hayward Industries, Inc.","United States - hayward-pool.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 11, 2023"
