"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 31, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 15, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 11, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 9, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 24, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 13, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 3, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 13, 2023"
"/discover/account/detail/14fc7d2f541fd97/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Heinen's","United States - heinens.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 5, 2023"
