"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 19, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, content hub",2,2,2,"Jul 6, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 20, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","campaign monitoring",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jun 12, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","2 keywords researched a total of 4 times by 2 anonymous users","taxonomy, marketing performance",2,4,2,"May 31, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 13, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Mar 28, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",1,4,1,"Mar 20, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023",,
"/discover/account/detail/177e94508d5eb2c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Herff Jones","United States - herffjones.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",2,1
