"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 2, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 31, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 18, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Jun 20, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 6, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 20, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, content hub",2,2,2,"May 9, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content hub",2,2,2,"Apr 21, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","brand integrity",1,1,1,"Mar 7, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 24, 2023"
"/discover/account/detail/122b402fe7fbfdd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HMSHost","United States - hmshost.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Feb 23, 2023"
