"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 24, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 20, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Apr 27, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 25, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 15, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 12, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 28, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Feb 27, 2023",,
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",2,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",11,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","22 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",22,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",11,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",1,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",1,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",5,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",1,1
"/discover/account/detail/db73758cfbe61a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HORIBA","United States - horiba.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",3,1
