"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Aug 4, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 28, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Jul 27, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 22, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","2 keywords researched a total of 4 times by 3 anonymous users","widen, taxonomy",2,4,3,"Jul 14, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 7, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/82c2a4f7abdbb87/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hormel Foods Corporation","United States - hormel.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 10, 2023",,
