"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 6, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 29, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Jul 25, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 25, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 23, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 21, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 18, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Apr 29, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 16, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Mar 20, 2023"
"/discover/account/detail/c7ac0e5bc067fe4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","HP Hood LLC","United States - hood.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 17, 2023"
