"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 11, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 18, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"May 23, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 20, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","2 keywords researched a total of 5 times by 2 anonymous users","pim, marketing performance",2,5,2,"May 19, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 17, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 4, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 11, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 2 times by 2 anonymous users","marketing performance",1,2,2,"Apr 10, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 7, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 2, 2023",,
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",3,1
"/discover/account/detail/f3060e4d7f357ef/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Hy-Vee, Inc.","United States - hy-vee.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",2,1
