"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 28, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 23, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Jun 20, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 2 times by 1 anonymous user","best dam",1,2,1,"Jun 7, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 1, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, Informatica",2,2,2,"May 17, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 1, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Apr 18, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 13, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 8, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 29, 2023"
"/discover/account/detail/e21117fdc7aa0b1/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","II-VI Incorporated","United States - ii-vi.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 11, 2023"
