"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 23, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 21, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 19, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 12, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 2, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 1, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 27, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 17, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, pim",2,2,2,"Apr 24, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 21, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 15, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 14, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 12, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 26, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 23, 2023"
"/discover/account/detail/cfab49e7c0b9c42/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Imperial Brands Plc","United Kingdom - imperialbrandsplc.com","1 keyword researched a total of 1 time by 1 anonymous user","review of assets",1,1,1,"Feb 16, 2023"
