"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Aug 8, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","2 keywords researched a total of 4 times by 2 anonymous users","Informatica, marketing performance",2,4,2,"Aug 3, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Jul 19, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jun 23, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 18, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 12 times by 1 anonymous user","taxonomy",1,12,1,"Apr 11, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 22, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Mar 14, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",4,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",2,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",5,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",1,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","20 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",20,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",2,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","8 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",8,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Feb 22, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","16 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",16,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",2,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",1,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","17 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",17,1
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Feb 16, 2023",,
"/discover/account/detail/5986cecb1ded314/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Impossible Foods","United States - impossiblefoods.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",2,1
