"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Aug 3, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 19 times by 1 anonymous user","taxonomy",1,19,1,"Apr 28, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 31, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Mar 23, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 2 times by 2 anonymous users","canto",1,2,2,"Mar 5, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",1,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Feb 25, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",4,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","2 keywords researched a total of 4 times by 2 anonymous users","hyland, canto",2,4,2,"Feb 23, 2023",,
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",2,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",2,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",6,1
"/discover/account/detail/c79c3dfd55202f9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","iRobot","United States - irobot.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",4,1
