"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","2 keywords researched a total of 4 times by 2 anonymous users","aem, canto",2,4,2,"Jul 26, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, taxonomy",2,3,2,"Jul 14, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 3, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","3 keywords researched a total of 4 times by 3 anonymous users","widen, canto, taxonomy",3,4,3,"Jun 22, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 18, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 12, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 11, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 10, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, taxonomy",2,3,2,"Jun 9, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 7 times by 1 anonymous user","widen",1,7,1,"Jun 7, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 7 times by 1 anonymous user","widen",1,7,1,"Jun 6, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 6 times by 1 anonymous user","widen",1,6,1,"Jun 4, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 6 times by 1 anonymous user","widen",1,6,1,"Jun 3, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jun 2, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jun 1, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","2 keywords researched a total of 4 times by 3 anonymous users","widen, taxonomy",2,4,3,"May 18, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 6, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"May 4, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 2, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 1, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 28, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 20, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 12, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 7, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 2 anonymous users","canto",1,2,2,"Apr 6, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 11 times by 1 anonymous user","taxonomy",1,11,1,"Apr 2, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 30, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 27, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Mar 23, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","2 keywords researched a total of 3 times by 2 anonymous users","smartsheet, taxonomy",2,3,2,"Mar 13, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 4 times by 1 anonymous user","workflow automation",1,4,1,"Mar 12, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 9, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Mar 5, 2023",,
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",6,1
"/discover/account/detail/d498b134751a8e0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jabil, Inc.","United States - jabil.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
