"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Jul 11, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 9, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 8, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 30, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 16, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 13, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 7, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jun 1, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 9, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 2, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 19, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 5 times by 1 anonymous user","smartsheet",1,5,1,"Mar 26, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 17, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 10, 2023"
"/discover/account/detail/7bf53bf17aefaa0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jacuzzi","United States - jacuzzi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 24, 2023"
