"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Aug 4, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 27, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/customers/, https://tenovos.com/platform/",,,1,"Jul 6, 2023",2,2,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 page clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/customers/",,,1,"Jul 6, 2023",1,,6,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 12, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 30, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 23, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Apr 21, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 10, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 16, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 2 times by 2 anonymous users","smartsheet",1,2,2,"Mar 2, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Feb 28, 2023",,,,,
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",,,,1,1
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",,,,2,1
"/discover/account/detail/c2f1d50c559c653/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Jazwares","United States - jazwares.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",,,,1,1
