"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 9, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 19, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 23, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 13, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 11, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",2,2,2,"Mar 16, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Mar 3, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",1,1
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",2,1
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",1,1
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Feb 25, 2023",,
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",1,1
"/discover/account/detail/7d4476a18f0e3a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JBS USA","United States - jbsfoodsgroup.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",2,1
