"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 2, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 18, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 4, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 25, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 20, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 8, 2023",,
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",2,1
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","12 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",12,1
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",2,1
"/discover/account/detail/50f5ad1f542db03/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","JUUL Labs","United States - juul.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",4,1
