"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 24, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, digital asset management",2,2,2,"Jul 21, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 4, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 6 times by 1 anonymous user","hyland",1,6,1,"Jun 30, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 19, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 29, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 31, 2023"
"/discover/account/detail/f1f0b6dafe7e18c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","King's Hawaiian","United States - kingshawaiian.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 21, 2023"
