"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 15, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","2 keywords researched a total of 2 times by 2 anonymous users","Salsify, best dam",2,2,2,"Jun 5, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 31, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 20, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"May 18, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 8, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 7, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 27, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 17, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Mar 13, 2023"
"/discover/account/detail/46f429d4a636b80/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Krueger International","United States - ki.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 22, 2023"
