"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","2 keywords researched a total of 2 times by 2 anonymous users","content delivery network, marketing performance",2,2,2,"Jul 27, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","2 keywords researched a total of 3 times by 2 anonymous users","Informatica, informatica tutorials",2,3,2,"Jul 24, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, marketing performance",2,2,2,"Jun 21, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jun 19, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 18, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 17, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 8, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 5, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"May 3, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 3 times by 1 anonymous user","forrester wave",1,3,1,"Apr 21, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 16, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 2 anonymous users","canto",1,2,2,"Apr 6, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","3 keywords researched a total of 3 times by 3 anonymous users","widen, canto, product information management",3,3,3,"Apr 2, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 31, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 18 times by 1 anonymous user","smartsheet",1,18,1,"Mar 30, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 24, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 23, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 20, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 13, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, taxonomy",2,2,2,"Mar 9, 2023",,
"/discover/account/detail/b4795dec19ec5ff/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","L'Oréal SA","United States - loreal.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 8, 2023",,
