"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 25, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 12, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"Jul 6, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 4, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Jun 30, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 30, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 28, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, marketing performance",2,2,2,"May 26, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, marketing performance",2,2,2,"May 20, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 16, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 12, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, brand integrity",2,2,2,"Apr 29, 2023",,
"/discover/account/detail/74a57d766b0070e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lamb Weston Holdings, Inc.","United States - lambweston.com","1 keyword researched a total of 7 times by 1 anonymous user","canto",1,7,1,"Apr 28, 2023",,
