"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 18, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 5, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 2, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 22, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 4 times by 1 anonymous user","pim",1,4,1,"May 21, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 19, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 5 times by 1 anonymous user","pim",1,5,1,"May 18, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 7 times by 1 anonymous user","pim",1,7,1,"May 16, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 6 times by 1 anonymous user","pim",1,6,1,"May 15, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 13, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 13, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 4 times by 1 anonymous user","content hub",1,4,1,"Mar 30, 2023"
"/discover/account/detail/7fdda276e93e079/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LEDVANCE","United States - ledvance.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Feb 20, 2023"
