"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Aug 10, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Aug 9, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 26, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 18, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 8, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 5 times by 1 anonymous user","sitecore",1,5,1,"Jul 7, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 6, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 29, 2023"
"/discover/account/detail/ce0ea2dc714484a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lennox International, Inc.","United States - lennoxinternational.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
