"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 4 times by 1 anonymous user","canto",1,4,1,"Aug 14, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 13, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 11, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, sitecore",2,2,2,"Aug 8, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 7, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 5, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 5 times by 2 anonymous users","workflow automation, content hub",2,5,2,"Aug 1, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 29, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 6 times by 1 anonymous user","marketing performance",1,6,1,"Jul 28, 2023",,,,
