"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 10, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Aug 3, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 10, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 6, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 26, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 5, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 4, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 30, 2023"
"/discover/account/detail/e643a3fa21401db/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lesaffre","United States - lesaffre.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 25, 2023"
