"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","3 keywords researched a total of 3 times by 2 anonymous users","aem, aem api, sitecore",3,3,2,"Jul 25, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 23, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 18, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, brand integrity",2,3,2,"Jul 16, 2023",,
"/discover/account/detail/ebc851d4f52df3c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lexmark","United States - lexmark.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,
