"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 13, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management system, digital asset management",2,2,1,"Aug 9, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 6 times by 1 anonymous user","marketing performance",1,6,1,"Aug 5, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 5, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 11, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Jun 5, 2023",,
"/discover/account/detail/37502246565e43b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","LG Electronics, Inc.","United States - lg.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 3, 2023",,
