"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Aug 7, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","2 keywords researched a total of 3 times by 2 anonymous users","pim, content delivery network",2,3,2,"Jul 25, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/ace85b7c6b925b9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Life Time","United States - lifetime.life","1 keyword researched a total of 7 times by 5 anonymous users","widen",1,7,5,"Jul 14, 2023",,
